IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
11,11002,A15-A34,W,1,0,1583280000000
11,11002,A15-A34,W,1,0,1583280000000
11,11003,A15-A34,M,1,0,1583280000000
13,13071,A35-A59,M,1,0,1583280000000
13,13073,A35-A59,M,1,0,1583280000000
1,01051,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,2,0,1583366400000
2,02000,A35-A59,M,1,0,1583366400000
2,02000,A35-A59,W,1,0,1583366400000
2,02000,A60-A79,W,1,0,1583366400000
3,03101,A15-A34,W,1,0,1583366400000
3,03351,A15-A34,M,1,0,1583366400000
3,03351,A15-A34,W,1,0,1583366400000
3,03351,A35-A59,M,1,0,1583366400000
3,03359,A35-A59,M,1,0,1583366400000
3,03459,A35-A59,M,1,0,1583366400000
5,05166,A15-A34,M,1,0,1583366400000
5,05166,A35-A59,W,1,0,1583366400000
5,05315,A15-A34,M,1,0,1583366400000
5,05315,A35-A59,M,1,0,1583366400000
5,05315,A60-A79,M,1,0,1583366400000
5,05315,A60-A79,W,1,0,1583366400000
5,05315,A80+,W,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,2,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A35-A59,M,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A60-A79,M,1,0,1583366400000
5,05334,A60-A79,W,1,0,1583366400000
5,05366,A60-A79,M,1,0,1583366400000
5,05370,A00-A04,M,1,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,M,3,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,M,3,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,W,1,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A15-A34,W,3,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A15-A34,W,1,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,3,0,1583366400000
5,05370,A35-A59,M,2,0,1583366400000
5,05370,A35-A59,M,3,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,2,0,1583366400000
