state,county,date,sex,age,caseState,count
8,8212,38,0,2,0,1
8,8212,38,0,3,0,1
8,8215,38,1,3,0,2
8,8221,38,1,2,0,1
8,8221,38,0,3,0,1
8,8222,38,1,4,0,1
8,8226,38,1,3,0,1
8,8311,38,0,3,0,2
8,8315,38,1,3,0,1
8,8316,38,0,3,0,1
8,8317,38,1,2,0,1
8,8317,38,1,3,0,1
8,8317,38,0,3,0,2
8,8317,38,1,4,0,1
8,8317,38,0,5,0,1
8,8317,38,0,5,1,1
8,8335,38,1,3,0,1
8,8426,38,1,3,0,2
8,8436,38,1,4,0,1
9,9161,38,1,2,0,1
9,9162,38,1,2,0,2
9,9162,38,1,3,0,5
9,9162,38,0,3,0,5
9,9162,38,1,4,0,1
9,9175,38,1,2,0,1
9,9175,38,1,3,0,1
9,9175,38,0,3,0,1
9,9178,38,1,0,0,1
9,9178,38,1,1,0,1
9,9178,38,1,2,0,1
9,9178,38,0,2,0,4
9,9178,38,1,3,0,7
9,9178,38,0,3,0,2
9,9178,38,1,4,0,1
9,9178,38,0,4,0,1
9,9178,38,0,5,0,1
9,9188,38,0,1,0,1
9,9188,38,1,3,0,1
9,9190,38,0,3,0,1
9,9275,38,1,1,0,1
9,9372,38,1,2,0,3
9,9372,38,1,3,0,1
9,9372,38,0,3,0,2
9,9761,38,1,3,0,1
9,9763,38,1,3,0,1
9,9777,38,1,3,0,1
11,11003,38,0,3,0,1
11,11004,38,1,3,0,1
11,11004,38,0,3,0,1
11,11007,38,0,3,0,1
14,14625,38,0,4,0,1
14,14713,38,1,3,0,1
2,2000,39,1,2,0,1
2,2000,39,1,3,0,1
2,2000,39,0,3,0,1
3,3241,39,0,3,0,1
3,3254,39,1,3,0,1
3,3359,39,1,3,0,1
3,3359,39,0,3,0,2
3,3405,39,1,2,0,1
3,3405,39,1,3,0,1
5,5113,39,0,2,0,1
5,5113,39,1,3,0,1
5,5113,39,0,3,0,1
5,5113,39,0,5,0,1
5,5113,39,0,5,1,1
5,5314,39,1,1,0,1
5,5314,39,0,3,0,1
5,5315,39,1,2,0,1
5,5334,39,0,2,0,1
5,5334,39,1,3,0,1
5,5334,39,0,3,0,1
5,5334,39,1,4,0,1
5,5334,39,0,4,0,1
5,5370,39,1,2,0,6
5,5370,39,0,2,0,15
5,5370,39,1,3,0,11
5,5370,39,0,3,0,8
5,5370,39,1,4,0,2
5,5370,39,1,4,0,1
5,5370,39,1,4,1,1
5,5370,39,0,4,0,1
5,5370,39,0,4,1,1
5,5370,39,0,4,0,3
5,5566,39,1,3,0,1
5,5570,39,1,2,0,1
5,5766,39,0,4,0,1
5,5770,39,1,2,0,1
5,5770,39,0,3,0,1
5,5978,39,0,1,0,1
5,5978,39,1,3,0,2
6,6438,39,1,3,0,1
6,6439,39,0,3,0,1
6,6531,39,1,4,0,1
6,6531,39,0,4,0,1
7,7232,39,1,4,0,1
7,7332,39,1,4,0,1
8,8111,39,1,1,0,1
8,8111,39,1,3,0,2
8,8111,39,0,3,0,2
8,8116,39,0,2,0,2
8,8116,39,0,3,0,1
8,8118,39,1,3,0,1
8,8118,39,1,4,0,1
8,8118,39,0,4,0,1
8,8119,39,0,4,0,1
8,8119,39,0,4,1,1
8,8126,39,0,3,0,1
8,8211,39,1,3,0,1
8,8215,39,1,3,0,1
8,8215,39,0,3,0,1
8,8215,39,1,4,0,1
8,8215,39,0,4,0,1
8,8216,39,1,4,0,1
8,8216,39,0,4,0,1
8,8225,39,0,4,0,1
8,8236,39,1,3,0,1
8,8237,39,1,2,0,1
8,8311,39,1,3,0,1
8,8311,39,1,4,0,1
8,8315,39,1,3,0,1
8,8316,39,0,1,0,1
8,8316,39,1,3,0,1
8,8326,39,0,3,0,1
8,8416,39,1,3,0,1
8,8425,39,1,3,0,1
8,8426,39,0,3,0,1
9,9175,39,1,3,0,1
9,9178,39,1,3,0,1
9,9178,39,0,3,0,2
9,9188,39,1,2,0,1
9,9188,39,0,2,0,2
9,9188,39,1,3,0,1
9,9190,39,0,4,0,1
9,9372,39,0,1,0,1
9,9372,39,0,2,0,1
9,9372,39,0,3,0,1
9,9372,39,0,5,0,1
9,9375,39,1,3,0,1
9,9464,39,0,3,0,1
9,9573,39,1,3,0,1
9,9573,39,0,3,0,1
11,11004,39,1,3,0,1
16,16051,39,0,4,0,1
1,1003,40,0,2,0,1
2,2000,40,1,2,0,1
2,2000,40,1,3,0,2
2,2000,40,0,3,0,2
3,3241,40,1,3,0,1
3,3455,40,1,3,0,2
5,5315,40,1,3,0,2
5,5334,40,1,0,0,1
5,5334,40,0,2,0,1
5,5334,40,0,3,0,2
5,5370,40,1,2,0,2
5,5370,40,0,2,0,2
5,5370,40,1,3,0,2
5,5370,40,0,3,0,5
5,5370,40,1,5,0,1
5,5370,40,0,5,0,1
5,5515,40,1,3,0,1
5,5558,40,0,1,0,1
5,5558,40,1,2,0,1
5,5558,40,1,3,0,1
5,5766,40,0,4,0,1
5,5770,40,1,3,0,1
7,7111,40,0,1,0,1
7,7111,40,1,3,0,1
7,7111,40,0,3,0,1
8,8116,40,1,0,0,1
8,8125,40,1,2,0,1
8,8125,40,0,2,0,1
8,8125,40,1,3,0,3
8,8125,40,0,4,0,1
8,8126,40,0,3,0,1
8,8226,40,0,3,0,1
8,8311,40,0,1,0,1
8,8316,40,1,3,0,3
8,8317,40,0,3,0,1
8,8421,40,0,2,0,1
9,9175,40,0,1,0,1
9,9175,40,1,3,0,1
9,9175,40,0,3,0,1
9,9178,40,0,1,0,1
9,9178,40,1,2,0,2
9,9178,40,0,2,0,1
9,9178,40,1,3,0,4
9,9178,40,0,3,0,2
9,9376,40,1,3,0,1
9,9563,40,0,3,0,1
9,9661,40,0,3,0,1
9,9777,40,1,3,0,1
10,10042,40,1,3,0,1
11,11001,40,0,2,0,1
11,11002,40,0,2,0,1
11,11004,40,1,2,0,4
11,11004,40,0,2,0,2
11,11004,40,1,3,0,1
11,11005,40,0,2,0,1
11,11005,40,0,3,0,1
12,12063,40,1,4,0,1
12,12063,40,0,4,0,1
12,12071,40,1,4,0,1
12,12072,40,1,4,0,1
13,13072,40,1,4,0,1
13,13072,40,0,4,0,1
14,14625,40,1,3,0,2
14,14625,40,0,3,0,2
14,14713,40,1,3,0,1
1,1056,41,0,2,0,1
1,1057,41,1,3,0,2
2,2000,41,1,2,0,1
2,2000,41,0,2,0,3
2,2000,41,1,3,0,8
2,2000,41,0,3,0,4
2,2000,41,1,4,0,2
2,2000,41,0,4,0,1
2,2000,41,1,5,0,1
3,3241,41,1,2,0,1
3,3241,41,0,2,0,1
3,3254,41,0,2,0,1
3,3254,41,0,4,0,1
3,3351,41,0,4,0,1
3,3357,41,1,2,0,1
3,3404,41,0,2,0,1
3,3404,41,0,4,0,1
3,3451,41,0,4,0,1
3,3454,41,0,3,0,1
3,3458,41,1,3,0,1
3,3459,41,1,3,0,1
3,3459,41,0,3,0,3
3,3459,41,1,4,0,1
4,4011,41,1,2,0,1
4,4011,41,0,2,0,2
4,4011,41,0,3,0,1
4,4011,41,1,4,0,2
4,4012,41,1,3,0,1
5,5111,41,1,3,0,2
5,5158,41,1,3,0,1
5,5158,41,0,3,0,1
5,5158,41,0,4,0,1
5,5170,41,1,3,0,1
5,5314,41,1,3,0,1
5,5314,41,0,3,0,1
5,5315,41,1,2,0,1
5,5315,41,1,3,0,3
5,5315,41,0,3,0,5
5,5315,41,1,4,0,1
5,5334,41,0,1,0,1
5,5334,41,1,2,0,1
5,5334,41,0,2,0,1
5,5366,41,1,3,0,2
5,5370,41,1,2,0,5
5,5370,41,0,2,0,8
5,5370,41,1,3,0,11
5,5370,41,0,3,0,11
5,5370,41,1,4,0,1
5,5370,41,1,4,1,1
5,5370,41,1,4,0,2
5,5370,41,0,4,0,3
5,5370,41,0,4,0,1
5,5370,41,0,4,1,1
5,5370,41,1,5,0,1
5,5370,41,1,5,1,1
5,5378,41,0,1,0,1
5,5378,41,1,2,0,1
5,5378,41,1,3,0,1
5,5378,41,1,4,0,2
5,5382,41,1,3,0,5
5,5382,41,0,3,0,2
5,5382,41,0,4,0,1
5,5512,41,1,3,0,1
5,5554,41,1,2,0,1
5,5554,41,1,4,0,1
5,5558,41,0,3,0,2
5,5711,41,1,3,0,1
5,5766,41,1,3,0,3
5,5766,41,0,3,0,2
5,5766,41,1,5,0,1
5,5766,41,1,5,1,1
5,5766,41,1,5,0,1
5,5911,41,1,3,0,1
5,5914,41,1,3,0,1
6,6412,41,1,2,0,1
6,6413,41,0,3,0,1
6,6414,41,0,3,0,1
6,6431,41,0,3,0,1
6,6434,41,0,3,0,1
6,6435,41,0,3,0,1
6,6438,41,0,3,0,1
6,6439,41,1,3,0,1
6,6439,41,0,3,0,1
6,6439,41,0,4,0,1
6,6532,41,0,3,0,2
6,6534,41,1,3,0,3
6,6534,41,0,3,0,3
6,6631,41,1,2,0,1
6,6631,41,1,3,0,1
7,7137,41,1,3,0,1
7,7138,41,0,3,0,1
7,7138,41,1,4,0,1
7,7143,41,1,3,0,1
7,7332,41,0,0,0,1
7,7332,41,1,3,0,1
7,7332,41,1,4,0,1
8,8111,41,1,2,0,1
8,8111,41,0,2,0,1
8,8111,41,1,3,0,1
8,8111,41,0,3,0,4
8,8111,41,1,4,0,1
8,8115,41,0,3,0,1
8,8118,41,1,3,0,1
8,8118,41,0,3,0,2
8,8125,41,1,5,0,1
8,8127,41,1,2,0,1
8,8128,41,1,3,0,1
8,8136,41,0,2,0,1
8,8215,41,0,2,0,1
8,8216,41,1,2,0,1
8,8216,41,1,3,0,1
8,8216,41,0,3,0,1
8,8221,41,0,3,0,1
8,8222,41,1,2,0,1
8,8222,41,0,2,0,1
8,8222,41,1,3,0,1
8,8222,41,0,3,0,1
8,8222,41,0,4,0,1
8,8225,41,0,0,0,1
8,8226,41,0,1,0,1
8,8226,41,1,3,0,1
8,8226,41,0,3,0,1
8,8235,41,0,3,0,1
8,8311,41,0,2,0,2
8,8311,41,1,3,0,1
8,8311,41,0,3,0,1
8,8315,41,1,3,0,2
8,8315,41,0,3,0,1
8,8316,41,1,0,0,1
8,8316,41,1,1,0,1
8,8316,41,1,3,0,1
8,8316,41,0,3,0,2
8,8316,41,1,4,0,1
8,8317,41,1,3,0,1
8,8317,41,0,5,0,1
8,8317,41,0,5,1,1
8,8416,41,1,4,0,1
8,8417,41,1,2,0,1
8,8417,41,1,3,0,1
8,8436,41,1,2,0,1
8,8436,41,0,3,0,1
9,9162,41,1,2,0,2
9,9162,41,0,2,0,1
9,9162,41,1,3,0,7
9,9162,41,0,3,0,8
9,9162,41,1,4,0,2
9,9162,41,0,4,0,2
9,9174,41,1,2,0,1
9,9174,41,0,2,0,1
9,9175,41,0,2,0,2
9,9177,41,1,3,0,1
9,9177,41,0,3,0,1
9,9177,41,1,4,0,1
9,9178,41,1,2,0,1
9,9178,41,0,2,0,1
9,9179,41,1,3,0,1
9,9180,41,1,3,0,1
9,9184,41,1,3,0,2
9,9184,41,0,3,0,1
9,9186,41,1,1,0,1
9,9273,41,0,2,0,1
9,9273,41,1,4,0,1
9,9274,41,1,1,0,1
9,9277,41,0,3,0,1
9,9278,41,0,4,0,1
9,9279,41,1,3,0,1
9,9372,41,1,2,0,2
9,9372,41,1,3,0,3
9,9372,41,0,3,0,2
9,9372,41,0,4,0,1
9,9375,41,1,3,0,2
9,9564,41,1,1,0,1
9,9564,41,0,1,0,1
9,9564,41,0,2,0,2
9,9564,41,1,3,0,1
9,9564,41,1,4,0,1
9,9572,41,1,3,0,1
9,9575,41,1,2,0,1
9,9575,41,0,2,0,1
9,9576,41,1,3,0,1
9,9576,41,0,3,0,1
9,9663,41,1,1,0,1
9,9663,41,0,1,0,1
9,9677,41,1,1,0,1
9,9679,41,1,2,0,1
9,9679,41,0,2,0,1
9,9761,41,1,2,0,1
9,9763,41,0,3,0,2
9,9776,41,0,2,0,2
9,9776,41,1,3,0,2
9,9776,41,0,3,0,1
9,9779,41,0,1,0,1
9,9779,41,1,2,0,1
9,9779,41,0,3,0,1
9,9780,41,1,2,0,2
9,9780,41,1,3,0,1
10,10041,41,0,4,0,1
10,10043,41,1,2,0,1
10,10044,41,1,3,0,1
10,10045,41,1,2,0,1
10,10045,41,1,3,0,1
11,11002,41,0,2,0,1
11,11002,41,1,3,0,2
11,11003,41,1,2,0,1
11,11003,41,0,2,0,1
11,11004,41,0,2,0,1
11,11005,41,1,2,0,1
11,11005,41,0,2,0,2
11,11006,41,0,2,0,1
11,11006,41,1,3,0,1
11,11007,41,1,2,0,2
11,11007,41,1,3,0,1
11,11008,41,1,3,0,2
11,11008,41,0,4,0,1
11,11010,41,0,4,0,1
11,11011,41,1,3,0,2
11,11011,41,0,3,0,1
11,11012,41,1,2,0,1
12,12062,41,1,2,0,1
12,12063,41,1,2,0,1
12,12066,41,0,3,0,1
12,12071,41,0,3,0,1
13,13071,41,0,2,0,1
13,13071,41,1,3,0,2
13,13072,41,1,3,0,1
14,14612,41,1,2,0,1
14,14626,41,1,2,0,1
14,14729,41,1,3,0,2
14,14729,41,0,4,0,1
1,1002,42,1,2,0,1
1,1002,42,0,2,0,1
1,1002,42,0,3,0,1
1,1053,42,0,2,0,1
1,1053,42,1,3,0,1
1,1055,42,1,3,0,1
1,1056,42,0,4,0,1
2,2000,42,1,0,0,1
2,2000,42,1,2,0,5
2,2000,42,0,2,0,3
2,2000,42,1,3,0,7
2,2000,42,0,3,0,5
2,2000,42,1,4,0,2
2,2000,42,0,4,0,2
2,2000,42,1,5,0,1
3,3241,42,1,2,0,1
3,3241,42,1,3,0,3
3,3241,42,0,3,0,2
3,3251,42,1,4,0,1
